Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Hearts For Sale,1989,1989,Steel Wheels,Virgin,Studio,5,280,Jagger/Richards,Jagger,0.129,0.587,0.956,0.00193,0.337,-4.613,0.0514,123.577,0.606,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Heaven,1981,1981,Tattoo You,Virgin,Studio,9,262,Jagger/Richards,Jagger,0.222,0.617,0.459,0.0415,0.285,-9.292,0.0368,114.497,0.119,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hey Negrita,1975,1975,Black and Blue,Virgin,Studio,5,299,Jagger/Richards,Jagger,0.319,0.695,0.753,0.000685,0.0624,-5.164,0.0388,85.184,0.798,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hide Your Love,1973,1973,Goats Head Soup,Interscope / Polydor,Studio,7,251,Jagger/Richards,Jagger,0.173,0.441,0.823,0.75,0.244,-5.4,0.053,108.276,0.689,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
High And Dry,1966,1966,Aftermath,ABKCO Records,Studio,8,186,Jagger/Richards,Jagger,0.0534,0.56,0.5,0.00872,0.242,-13.544,0.0443,114.032,0.772,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Highwire,1991,1991,Flashpoint,Virgin,Live,16,286,Jagger/Richards,Jagger,0.02105,0.4545,0.9185,0.006295,0.0523,-4.671,0.04405,126.792,0.812,Yes,30.03. 1991,29th,4th,No,No,54th,57th,27th,6th,28th,14th,10th,27th,No
Hitch Hike,1965,1965,Out of Our Heads,ABKCO Records,Studio,2,146,"Marvin Gaye/William ""Mickey"" Stevenson/Clarence Paul",Jagger,0.34,0.747,0.835,0.733,0.0281,-7.04,0.0324,123.456,0.963,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hold Back,1985,1986,Dirty Work,Virgin,Studio,4,232,Jagger/Richards,Jagger,0.00569,0.51,0.996,0.0025,0.343,-2.864,0.125,144.515,0.417,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hold On To Your Hat,1989,1989,Steel Wheels,Virgin,Studio,4,212,Jagger/Richards,Jagger,0.312,0.24,0.984,0.349,0.498,-3.495,0.115,189.6,0.413,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Honky Tonk Women,1969,1969,Get Yer Ya-Ya's Out!,ABKCO Records,Live,9,214,Jagger/Richards,Jagger,0.00948,0.343,0.974,0.00178,0.748,-3.69,0.0638,122.223,0.81,Yes,15.07. 1969,1st,17th,1st,1st,No,1st,2nd,4th,13th,1st,2nd,No,RIAA: Gold
Hoo Doo Blues,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,9,156,Otis Hicks/Jerry West,Jagger,0.358,0.461,0.74,0.138,0.301,-4.961,0.0387,70.003,0.597,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hot Stuff,1975,1976,Black and Blue,Virgin,Studio,1,321,Jagger/Richards,Jagger,0.278,0.788,0.768,0.000161,0.0654,-7.25,0.0601,100.118,0.852,No,No,No,No,60th,No,No,49th,No,No,No,No,No,No,No
How Can I Stop,1997,1997,Bridges to Babylon,Virgin,Studio,13,413,Jagger/Richards,Richards,0.705,0.546,0.314,0.00689,0.199,-10.795,0.0262,139.413,0.167,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Am Waiting,1965,1966,Aftermath,ABKCO Records,Studio,10,190,Jagger/Richards,Jagger,0.564,0.63,0.384,5.49e-05,0.0993,-14.651,0.0394,88.586,0.614,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Can't Be Satisfied,1964,1965,The Rolling Stones No.2,Decca,Studio,9,206,Muddy Waters,Jagger,0.137,0.485,0.525,0.0146,0.314,-10.585,0.0616,198.549,0.583,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Can't Quit You Baby,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,12,313,Willie Dixon,Jagger,0.226,0.328,0.711,0.0172,0.0669,-5.037,0.0455,182.5,0.17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Go Wild,1993,1994,Voodoo Lounge,Virgin,Studio,8,264,Jagger/Richards,Jagger,0.0324,0.482,0.975,0.0199,0.31,-3.096,0.0977,108.974,0.47,Yes,15.07. 1995,29th,3rd,No,No,No,No,61th,48th,No,No,44th,No,No
I Got The Blues,1970,1971,Sticky Fingers,Virgin,Studio,7,235,Jagger/Richards,Jagger,0.467,0.442,0.382,0.0216,0.121,-5.295,0.0317,119.947,0.199,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Gotta Go,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,5,206,Little Walter,Jagger,0.469,0.579,0.872,0.00286,0.087,-3.102,0.0795,120.033,0.505,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Just Want To See His Face,1971,1972,Exile on Main St.,Virgin,Studio,13,173,Jagger/Richards,Jagger,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Alright ,1965,1965,Got Live If You Want It!,ABKCO Records / Universal,Live,10,146,Bo Diddley,"Jagger, Richards",5.81e-05,0.426,0.824,0.716,0.946,-9.782,0.0502,118.944,0.612,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Free,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,8,144,Jagger/Richards,Jagger,0.197,0.64,0.443,0.0397,0.435,-10.652,0.031,118.71,0.582,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Moving On ,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,12,133,Hank Snow,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I've Been Loving You Too Long,1965,1966,Got Live If You Want It!,ABKCO Records / Universal,Live,5,175,Otis Redding/Jerry Butler,Jagger,0.418333333,0.289,0.561666667,0.113667143,0.437,-9.457666667,0.046633333,139.8973333,0.0427,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
If You Can't Rock Me,1973,1974,It's Only Rock 'n' Roll,Virgin,Studio,1,227,Jagger/Richards,Jagger,0.00132,0.522,0.932,0.000219,0.362,-4.215,0.0324,125.554,0.951,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
If You Need Me,1964,1964,12 X 5,ABKCO Records,Studio,11,125,Wilson Pickett/Robert Bateman,Jagger,0.491,0.522,0.532,0.000107,0.135,-10.41,0.0247,98.553,0.683,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
If You Really Want To Be My Friend,1973,1974,It's Only Rock 'n' Roll,Virgin,Studio,8,377,Jagger/Richards,Jagger,0.531,0.43,0.652,0.000358,0.068,-5.023,0.0357,148.922,0.366,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
In Another Land,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,3,195,Bill Wyman,Wyman,0.593,0.305,0.52,0.000232,0.38,-12.859,0.0395,98.078,0.36,No,No,No,No,62th,No,No,87th,No,No,No,No,No,No,No
Indian Girl,1979,1980,Emotional Rescue,Universal,Studio,5,263,Jagger/Richards,Jagger,0.0478,0.735,0.494,0.0217,0.161,-5.93,0.039,97.538,0.467,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infamy,2005,2005,A Bigger Bang,Virgin,Studio,16,227,Jagger/Richards,Richards,0.349,0.7,0.706,0.0,0.0779,-4.455,0.0384,108.974,0.915,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
It Must Be Hell,1983,1983,Undercover,Universal,Studio,10,304,Jagger/Richards,Jagger,0.156,0.602,0.912,0.716,0.351,-4.309,0.0596,114.406,0.726,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
It Won't Take Long,2004,2005,A Bigger Bang,Virgin,Studio,3,234,Jagger/Richards,Jagger,0.0199,0.474,0.927,1.46e-05,0.113,-3.579,0.068,117.37,0.576,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
It's All Over Now,1964,1964,12 X 5,ABKCO Records,Studio,6,207,Bobby Womack/Shirley Womack,Jagger,0.0296,0.6,0.702,5.27e-06,0.329,-10.56,0.0311,99.143,0.716,Yes,08.07. 1964,1st,15th,25th,33th,No,26th,14th,1st,7th,No,26th,No,No
It's Not Easy,1965,1966,Aftermath,ABKCO Records,Studio,9,170,Jagger/Richards,Jagger,0.678,0.646,0.831,2.71e-05,0.571,-11.085,0.0507,135.598,0.811,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
It's Only Rock 'N Roll (But I Like It),1973,1974,Love You Live,Virgin,Live,5,269,Jagger/Richards,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,18th,11th,No,16th,36th,17th,3rd,No,12th,No,No
Jig-Saw Puzzle,1968,1968,Beggars Banquet,ABKCO Records,Studio,5,366,Jagger/Richards,Jagger,0.356,0.399,0.645,4.75e-06,0.0938,-10.785,0.0467,113.728,0.785,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Just Like I Treat You,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,11,204,Willie Dixon,Jagger,0.303,0.59,0.905,0.00802,0.176,-3.631,0.0424,107.307,0.626,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Just My Imagination (Running Away With Me),1977,1978,Some Girls,Universal,Studio,3,278,Norman Whitfield/Barrett Strong,Jagger,0.521,0.452,0.911,0.379,0.322,-2.499,0.064,112.544,0.845,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Just Your Fool,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,1,136,Buddy Johnson,Jagger,0.329,0.547,0.903,0.216,0.388,-3.832,0.0579,116.152,0.842,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Key To The Highway,1985,1986,Dirty Work,Virgin,Studio,11,33,Big Bill Broonzy/Charles Segar,instrumental,0.994,0.596,0.129,0.848,0.132,-24.466,0.16,102.803,0.461,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lady Jane,1966,1966,Flowers,ABKCO Records,Compilation,4,188,Jagger/Richards,Jagger,0.572,0.334,0.312,2.76e-05,0.0749,-16.304,0.0454,205.687,0.296,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Lantern,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,7,263,Jagger/Richards,Jagger,0.54,0.409,0.371,0.0072,0.0873,-13.741,0.0321,98.228,0.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Laugh, I Nearly Died",2005,2005,A Bigger Bang,Virgin,Studio,12,294,Jagger/Richards,Jagger,0.142,0.723,0.606,6.87e-06,0.089,-4.568,0.0359,75.028,0.296,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Let It Bleed,1969,1969,Let It Bleed,ABKCO Records,Studio,5,327,Jagger/Richards,Jagger,0.451,0.564,0.674,0.00348,0.255,-8.177,0.0292,116.266,0.817,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Let It Loose,1971,1972,Exile on Main St.,Virgin,Studio,14,318,Jagger/Richards,Jagger,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,76.121,0.363,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Let Me Down Slow,2004,2005,A Bigger Bang,Virgin,Studio,2,256,Jagger/Richards,Jagger,0.0225,0.501,0.956,0.000213,0.49,-3.432,0.0571,140.469,0.759,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Let Me Go,1979,1980,Still Life,Virgin,Live,7,211,Jagger/Richards,Jagger,0.00928,0.564,0.961,0.0343,0.146,-4.358,0.0644,148.502,0.865,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Let's Spend The Night Together,1966,1967,Flowers,ABKCO Records,Compilation,3,218,Jagger/Richards,Jagger,0.675,0.56,0.79,0.0,0.214,-7.677,0.049,140.814,0.589,Yes,25.01. 1967,3rd,10th,No,No,No,No,1st,2nd,3rd,No,No,No,No
Lies,1977,1978,Some Girls,Universal,Studio,5,191,Jagger/Richards,Jagger,0.441,0.388,0.997,0.941,0.472,-1.426,0.197,162.415,0.535,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Like A Rolling Stone ,1995,1995,Stripped,Virgin,Live,2,338,Bob Dylan,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,48th,10th,45th,No,15th,No,No
Little Baby ,1995,1995,Stripped,Virgin,Live,14,240,Willie Dixon,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Little Queenie ,1969,1970,Get Yer Ya-Ya's Out!,ABKCO Records,Live,8,273,Chuck Berry,Jagger,0.151,0.495,0.811,0.785,0.66,-6.879,0.0392,126.69,0.964,No,No,No,No,No,No,No,No,19th,12th,No,5th,No,No,No
Little Rain,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,10,212,Ewart G.Abner Jr./Jimmy Reed,Jagger,0.844,0.432,0.384,0.0471,0.102,-6.894,0.0279,94.38,0.168,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Little Red Rooster,1964,1964,Love You Live,Virgin,Live,3,273,Willie Dixon,Jagger,0.0761,0.732,0.447,0.0506,0.0988,-11.76,0.0432,109.313,0.709,Yes,25.11. 1964,1st,12th,No,No,No,No,14th,4th,21th,No,No,No,No
Little T&A,1979,1981,Tattoo You,Virgin,Studio,4,203,Jagger/Richards,Richards,0.132,0.53,0.888,0.0321,0.425,-5.128,0.0282,136.123,0.833,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Live With Me,1969,1969,Get Yer Ya-Ya's Out!,ABKCO Records,Live,7,182,Jagger/Richards,Jagger,0.00908,0.673,0.624,0.0296,0.0849,-9.901,0.038,129.618,0.931,No,No,No,No,No,No,No,No,No,No,21th,No,No,No,No
Look What The Cat Dragged In,2004,2005,A Bigger Bang,Virgin,Studio,14,237,Jagger/Richards,Jagger,0.00885,0.506,0.98,0.00332,0.138,-2.494,0.145,117.003,0.556,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Look What You've Done,1964,1965,December's Children (And Everybody's),ABKCO Records,Studio,4,136,Muddy Waters,Jagger,0.493,0.576,0.569,0.288,0.561,-9.475,0.0507,98.239,0.742,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Love In Vain,1969,1969,Get Yer Ya-Ya's Out!,ABKCO Records,Live,4,296,Robert Johnson,Jagger,0.272,0.367,0.474,0.0177,0.113,-11.706,0.0331,184.452,0.314,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Love Is Strong,1993,1994,Voodoo Lounge,Virgin,Studio,1,230,Jagger/Richards,Jagger,0.0169,0.53,0.855,0.238,0.0628,-5.116,0.0461,110.14,0.511,Yes,16.07. 1994,14th,5th,No,No,No,91th,40th,6th,No,29th,2nd,28th,No
Loving Cup,1971,1972,Exile on Main St.,Virgin,Studio,9,265,Jagger/Richards,Jagger,0.636,0.471,0.843,0.0402,0.773,-5.702,0.041,156.695,0.632,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Low Down,1997,1997,Bridges to Babylon,Virgin,Studio,3,265,Jagger/Richards,Jagger,0.00296,0.476,0.943,7.76e-06,0.146,-4.058,0.0511,116.263,0.607,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Luxury,1974,1974,It's Only Rock 'n' Roll,Virgin,Studio,6,301,Jagger/Richards,Jagger,0.251,0.567,0.95,0.00502,0.643,-4.742,0.0428,129.222,0.757,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mannish Boy ,1977,1977,Love You Live,Virgin,Live,1,384,Muddy Waters/Mel London/Bo Diddley,Jagger,0.716,0.326,0.794,0.0374,0.815,-4.868,0.0908,202.252,0.824,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mean Disposition,1994,1994,Voodoo Lounge,Virgin,Studio,15,248,Jagger/Richards,Jagger,0.126,0.358,0.914,0.379,0.203,-5.723,0.051,183.848,0.83,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Melody,1975,1976,Black and Blue,Virgin,Studio,6,350,Jagger/Richards,Jagger,0.632,0.657,0.517,0.00139,0.241,-7.25,0.0417,81.915,0.574,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Memory Motel,1975,1976,Black and Blue,Virgin,Studio,4,429,Jagger/Richards,"Jagger, Richards",0.783,0.357,0.62,3.52e-06,0.15,-6.03,0.0353,81.346,0.38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Mercy, Mercy",1964,1965,Out of Our Heads,ABKCO Records,Studio,1,167,Don Covay/Ronnie Miller,Jagger,0.0495,0.711,0.636,0.674,0.0806,-9.935,0.0457,117.807,0.784,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Midnight Rambler,1969,1969,Get Yer Ya-Ya's Out!,ABKCO Records,Live,5,544,Jagger/Richards,Jagger,0.0533,0.251,0.871,0.0835,0.59,-4.472,0.0579,167.464,0.562,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Might As Well Get Juiced,1997,1997,Bridges to Babylon,Virgin,Studio,9,323,Jagger/Richards,Jagger,0.00331,0.467,0.905,0.0504,0.195,-6.441,0.0785,169.387,0.565,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Miss Amanda Jones,1966,1967,Between the Buttons,ABKCO Records,Studio,11,168,Jagger/Richards,Jagger,0.162,0.462,0.828,0.0,0.175,-10.693,0.0642,79.766,0.828,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Miss You,1977,1978,Flashpoint,Virgin,Live,4,355,Jagger/Richards,Jagger,0.421,0.797,0.718,0.00678,0.236,-4.747,0.0423,109.688,0.811,Yes,03.06. 1978,3rd,13th,1st,3rd,No,1st,12th,2nd,1st,11th,1st,No,RIAA: Gold
Mixed Emotions,1989,1989,Steel Wheels,Virgin,Studio,2,278,Jagger/Richards,Jagger,0.0995,0.493,0.956,0.000295,0.83,-4.257,0.0429,137.091,0.831,Yes,02.09. 1989,36th,5th,No,No,25th,5th,20th,9th,41th,24th,1st,39th,No
Mona (I Need You Baby),1964,1964,"The Rolling Stones, Now!",ABKCO Records,Studio,6,215,Bo Diddley,Jagger,0.070066667,0.694333333,0.662666667,0.000245667,0.0942,-10.67733333,0.127666667,98.93166667,0.421333333,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Monkey Man,1969,1969,Let It Bleed,ABKCO Records,Studio,8,251,Jagger/Richards,Jagger,0.536,0.424,0.761,0.0383,0.083,-9.185,0.0358,102.1,0.58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Moon Is Up,1994,1994,Voodoo Lounge,Virgin,Studio,6,221,Jagger/Richards,Jagger,0.0808,0.649,0.645,0.171,0.161,-8.184,0.0275,116.135,0.559,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Moonlight Mile,1970,1971,Sticky Fingers,Virgin,Studio,10,357,Jagger/Richards,Jagger,0.575,0.417,0.5,0.0883,0.102,-6.449,0.0263,130.531,0.241,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mother's Little Helper,1965,1966,Flowers,ABKCO Records,Compilation,9,167,Jagger/Richards,Jagger,0.017,0.582,0.545,4.05e-06,0.229,-11.677,0.0298,101.691,0.721,No,No,No,No,4th,4th,No,8th,9th,7th,24th,No,14th,No,No
My Girl,1965,1967,Flowers,ABKCO Records,Compilation,6,159,Smokey Robinson/Ronald White,Jagger,0.679,0.589,0.567,0.175,0.335,-7.774,0.0342,110.531,0.731,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
My Obsession,1966,1967,Between the Buttons,ABKCO Records,Studio,8,198,Jagger/Richards,Jagger,0.226,0.644,0.788,2.26e-06,0.0633,-8.871,0.0755,144.056,0.595,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Nearness Of You ,2002,2004,Live Licks,Virgin,Live,17,274,Hoagy Carmichael/Ned Washington,Richards,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Neighbours,1980,1981,Tattoo You,Virgin,Studio,6,213,Jagger/Richards,Jagger,0.17,0.431,0.94,0.00155,0.315,-5.868,0.0775,166.156,0.759,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
New Faces,1994,1994,Voodoo Lounge,Virgin,Studio,5,171,Jagger/Richards,Jagger,0.357,0.531,0.48,0.0,0.333,-10.536,0.0268,110.446,0.664,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No Expectations,1968,1968,Beggars Banquet,ABKCO Records,Studio,2,236,Jagger/Richards,Jagger,0.568,0.468,0.285,0.0146,0.138,-12.944,0.0267,92.415,0.301,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No Use In Crying,1980,1981,Tattoo You,Virgin,Studio,10,205,Jagger/Richards/Wood,Jagger,0.58,0.636,0.455,0.000523,0.159,-6.493,0.0338,143.853,0.432,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Not Fade Away,1964,1964,Got Live If You Want It!,ABKCO Records / Universal,Live,4,124,Buddy Holly/Norman Petty,Jagger,0.00632,0.754,0.834,0.559,0.129,-9.944,0.0491,113.289,0.915,Yes,04.03. 1964,3rd,15th,44th,58th,No,48th,No,No,No,No,No,No,No
Off The Hook,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,8,155,Jagger/Richards,Jagger,0.169,0.632,0.618,2.17e-06,0.163,-11.015,0.0303,76.641,0.864,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Oh, Baby (We Got A Good Thing Going)",1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,10,129,Barbara Lynn Ozen,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Oh No, Not You Again",2005,2005,A Bigger Bang,Virgin,Studio,10,226,Jagger/Richards,Jagger,0.0119,0.48,0.984,0.0,0.31,-2.31,0.0937,140.402,0.495,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
On With The Show,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,10,219,Jagger/Richards,Jagger,0.671,0.532,0.858,7.41e-06,0.488,-11.19,0.223,114.351,0.59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One Hit (To The Body),1985,1986,Dirty Work,Virgin,Studio,1,284,Jagger/Richards,Jagger,0.147,0.587,0.965,4.76e-05,0.62,-3.719,0.105,138.312,0.637,Yes,31.05. 1986,80th,2nd,No,No,34th,28th,No,50th,No,No,26th,No,No
One More Try,1965,1965,Out of Our Heads,ABKCO Records,Studio,12,118,Jagger/Richards,Jagger,0.0362,0.522,0.811,0.463,0.301,-9.364,0.07,177.706,0.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Out Of Control,1997,1997,No Security,Virgin,Live,14,477,Jagger/Richards,Jagger,0.325,0.742,0.56,0.0378,0.538,-7.905,0.0424,122.202,0.715,Yes,22.08. 1998,51th,2nd,No,No,No,No,No,No,No,No,No,12th,No
Out Of Tears,1993,1994,Voodoo Lounge,Virgin,Studio,7,327,Jagger/Richards,Jagger,0.378,0.388,0.472,0.000934,0.135,-7.121,0.0285,144.354,0.137,Yes,10.12. 1994,36th,6th,No,No,No,60th,No,37th,38th,No,3rd,No,No
Out Of Time,1966,1966,Flowers,ABKCO Records,Compilation,5,222,Jagger/Richards,Jagger,0.663,0.653,0.618,0.0,0.134,-10.852,0.0744,126.73,0.705,Yes,20.09. 1975,45th,2nd,65th,88th,No,81th,No,No,No,No,No,No,No
Pain In My Heart,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,9,132,Allen Toussaint (under the pseudonym Naomi Neville),Jagger,0.618,0.463,0.555,0.799,0.136,-8.952,0.0371,176.858,0.825,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Paint It Black,1966,1966,Live Licks,Virgin,Live,3,225,Jagger/Richards,Jagger,0.0569,0.482,0.8,0.00223,0.387,-9.278,0.0916,158.81,0.569,Yes,02.06. 2007,70th,11th,1st,1st,No,1st,2nd,1st,8th,No,1st,No,"GER: Gold, UK: 2Ã— Platinum"
Parachute Woman,1968,1968,Beggars Banquet,ABKCO Records,Studio,4,140,Jagger/Richards,Jagger,0.501,0.514,0.624,0.322,0.114,-9.668,0.0541,114.058,0.857,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Play With Fire,1965,1965,Out of Our Heads,ABKCO Records,Studio,10,135,Jagger/Richards,Jagger,0.238,0.574,0.413,0.000298,0.242,-9.548,0.0269,108.719,0.0876,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
